ticker,SMA,MA_TYPE,DELTA,DELAY,SURVIVAL_PROB,BUCKETS,STARTING_CAPITAL,maxterm,WHIPSAW_DAYS,final_equity,CAGR,CAGR_pct,max_drawdown,max_drawdown_pct,final_state,data_last_date
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,1,118388.09,0.15276905,15.2769,-0.11370163,-11.3702,Cash timeout,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,2,118388.09,0.15276905,15.2769,-0.11370163,-11.3702,Cash timeout,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,3,118388.09,0.15276905,15.2769,-0.11370163,-11.3702,Cash timeout,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,4,118388.09,0.15276905,15.2769,-0.11370163,-11.3702,Cash timeout,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,5,118388.09,0.15276905,15.2769,-0.11370163,-11.3702,Cash timeout,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,6,118388.09,0.15276905,15.2769,-0.11370163,-11.3702,Cash timeout,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,7,118388.09,0.15276905,15.2769,-0.11370163,-11.3702,Cash timeout,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,8,118388.09,0.15276905,15.2769,-0.11370163,-11.3702,Cash timeout,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,9,118388.09,0.15276905,15.2769,-0.11370163,-11.3702,Cash timeout,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,10,118388.09,0.15276905,15.2769,-0.11370163,-11.3702,Cash timeout,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,11,123118.31,0.15562784,15.5628,-0.09122265,-9.1223,Cash timeout,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,12,128511.16,0.15876418,15.8764,-0.09122265,-9.1223,Cash timeout,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,13,127493.34,0.15818180,15.8182,-0.09122265,-9.1223,Cash timeout,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,14,128318.19,0.15865410,15.8654,-0.09122265,-9.1223,Cash timeout,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,15,119031.66,0.15316423,15.3164,-0.09122265,-9.1223,Cash timeout,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,16,118867.44,0.15306358,15.3064,-0.09122265,-9.1223,Cash timeout,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,17,117565.23,0.15226084,15.2261,-0.09122265,-9.1223,Cash timeout,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,18,116582.27,0.15164937,15.1649,-0.09122265,-9.1223,Floor hold,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,19,116247.67,0.15144012,15.1440,-0.09122265,-9.1223,Floor hold,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,20,118486.91,0.15282986,15.2830,-0.09046757,-9.0468,Floor hold,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,21,121515.21,0.15467069,15.4671,-0.09046757,-9.0468,Floor hold,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,22,121265.06,0.15452026,15.4520,-0.09046757,-9.0468,Floor hold,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,23,125591.61,0.15708190,15.7082,-0.09046757,-9.0468,Floor hold,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,24,126579.21,0.15765503,15.7655,-0.09046757,-9.0468,Floor hold,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,25,128150.47,0.15855830,15.8558,-0.09046757,-9.0468,Floor hold,2026-07-23
